Age,Attrition,BusinessTravel,DistanceFromHome,Education,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance
Middle-age,No,Rarely,Short,Master,Rappresentative,Very_high,Married,On_average,No,Excellent,Competent,Best
Young,No,Rarely,Short,College,Technician,High,Single,Lower,No,Excellent,Beginner,Best
Middle-age,No,Non-Travel,Short,Master,Director,Very_high,Divorced,Higher,Yes,Excellent,Proficient,Better
Middle-age,No,Rarely,Long,Bachelor,Director,Medium,Divorced,Higher,No,Excellent,Competent,Good
Middle-age,No,Rarely,Short,College,Rappresentative,Low,Divorced,On_average,Yes,Outstanding,Competent,Better
Young,No,Frequently,Short,Bachelor,Rappresentative,Medium,Divorced,On_average,No,Outstanding,Beginner,Bad
Senior,No,Rarely,Short,Below_college,Manager,Medium,Divorced,Higher,No,Excellent,Expert,Good
Senior,No,Rarely,Short,Master,Manager,High,Married,Higher,Yes,Excellent,Expert,Good
Senior,No,Rarely,Short,Below_college,Rappresentative,High,Married,On_average,No,Outstanding,Expert,Better
Young,No,Frequently,Short,College,Rappresentative,Very_high,Single,On_average,No,Excellent,Competent,Good
Senior,No,Rarely,Long,College,Rappresentative,Very_high,Married,On_average,Yes,Excellent,Competent,Better
Young,No,Frequently,Medium,College,Rappresentative,Low,Married,On_average,Yes,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Bachelor,Technician,Very_high,Single,Lower,No,Excellent,Proficient,Better
Senior,Yes,Frequently,Long,Bachelor,Technician,High,Divorced,Lower,Yes,Outstanding,Proficient,Bad
Middle-age,No,Rarely,Long,Master,Rappresentative,Very_high,Divorced,On_average,No,Excellent,Competent,Better
Young,Yes,Rarely,Medium,Master,Technician,Medium,Divorced,Lower,Yes,Excellent,Beginner,Better
Young,No,Rarely,Short,College,Technician,Very_high,Single,Lower,No,Outstanding,Beginner,Better
Senior,No,Frequently,Medium,Master,Manager,Low,Single,Higher,Yes,Excellent,Expert,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Medium,Single,On_average,No,Excellent,Competent,Better
Middle-age,No,Frequently,Short,Bachelor,Technician,Medium,Divorced,Lower,No,Excellent,Novice,Good
Young,Yes,Rarely,Short,Master,Rappresentative,Very_high,Single,On_average,Yes,Excellent,Competent,Better
Middle-age,No,Frequently,Short,Bachelor,Technician,Very_high,Married,Lower,Yes,Excellent,Beginner,Good
Senior,No,Frequently,Long,Bachelor,Manager,Medium,Married,Higher,No,Excellent,Expert,Best
Young,Yes,Rarely,Short,Bachelor,Technician,High,Single,Lower,No,Excellent,Novice,Better
Middle-age,No,Rarely,Medium,Bachelor,Director,Medium,Married,Higher,No,Excellent,Competent,Good
Middle-age,No,Frequently,Medium,Master,Technician,Very_high,Married,On_average,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Bachelor,Rappresentative,Medium,Divorced,On_average,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Master,Manager,Medium,Single,Higher,No,Excellent,Expert,Better
Young,No,Rarely,Medium,Bachelor,Technician,High,Single,Lower,No,Excellent,Novice,Better
Young,No,Rarely,Medium,College,Rappresentative,Low,Single,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Very_high,Married,Higher,No,Excellent,Competent,Good
Middle-age,No,Rarely,Short,Bachelor,Director,Very_high,Divorced,Higher,No,Excellent,Proficient,Good
Middle-age,No,Non-Travel,Long,Master,Rappresentative,Medium,Married,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,High,Married,On_average,No,Excellent,Competent,Good
Middle-age,No,Rarely,Long,College,Director,Medium,Married,Higher,No,Excellent,Proficient,Better
Senior,No,Non-Travel,Short,Master,Rappresentative,High,Divorced,On_average,Yes,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Master,Technician,Very_high,Married,On_average,Yes,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Low,Married,On_average,No,Excellent,Competent,Better
Senior,No,Frequently,Short,Bachelor,Director,Low,Divorced,On_average,No,Excellent,Expert,Better
Middle-age,No,Rarely,Short,Master,Technician,Very_high,Divorced,Lower,Yes,Excellent,Beginner,Bad
Middle-age,No,Frequently,Short,Master,Director,Medium,Married,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Medium,Below_college,Manager,Low,Married,Higher,Yes,Excellent,Expert,Better
Senior,No,Frequently,Medium,Master,Technician,Very_high,Single,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Short,College,Manager,High,Single,Higher,Yes,Excellent,Expert,Better
Senior,Yes,Rarely,Short,Master,Rappresentative,Medium,Married,On_average,No,Excellent,Competent,Good
Young,No,Rarely,Short,Bachelor,Technician,Medium,Single,Lower,Yes,Excellent,Beginner,Good
Middle-age,No,Rarely,Short,College,Rappresentative,Medium,Married,On_average,Yes,Excellent,Competent,Better
Young,No,Rarely,Short,Bachelor,Rappresentative,High,Single,On_average,Yes,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Very_high,Divorced,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Very_high,Single,On_average,No,Excellent,Competent,Good
Young,Yes,Rarely,Short,Master,Technician,Very_high,Married,Lower,Yes,Excellent,Beginner,Good
Middle-age,No,Rarely,Long,College,Rappresentative,Very_high,Married,On_average,No,Excellent,Competent,Better
Middle-age,No,Frequently,Short,College,Director,High,Married,Higher,No,Outstanding,Competent,Better
Middle-age,No,Frequently,Short,College,Manager,Very_high,Married,Higher,No,Excellent,Expert,Better
Middle-age,Yes,Rarely,Short,College,Rappresentative,High,Married,On_average,Yes,Excellent,Competent,Good
Middle-age,No,Frequently,Medium,Bachelor,Rappresentative,Very_high,Single,On_average,No,Excellent,Competent,Good
Senior,No,Rarely,Short,Doctor,Manager,High,Married,Higher,No,Excellent,Expert,Better
Senior,No,Frequently,Medium,Master,Rappresentative,High,Divorced,On_average,No,Excellent,Competent,Best
Young,No,Non-Travel,Short,Below_college,Rappresentative,Medium,Married,On_average,Yes,Excellent,Beginner,Better
Senior,No,Frequently,Long,Master,Rappresentative,High,Single,On_average,No,Excellent,Expert,Good
Senior,No,Rarely,Short,Bachelor,Director,Low,Married,Higher,No,Excellent,Competent,Good
Senior,No,Rarely,Short,Master,Rappresentative,Very_high,Married,On_average,No,Excellent,Competent,Better
Senior,No,Rarely,Short,College,Rappresentative,Very_high,Married,Higher,Yes,Outstanding,Beginner,Good
Young,Yes,Rarely,Short,Master,Technician,Low,Married,Lower,Yes,Excellent,Competent,Good
Young,No,Rarely,Short,Doctor,Technician,Very_high,Single,On_average,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,High,Divorced,On_average,No,Excellent,Competent,Better
Young,No,Rarely,Short,Master,Rappresentative,Medium,Married,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,College,Rappresentative,Very_high,Divorced,On_average,No,Excellent,Competent,Good
Middle-age,No,Rarely,Medium,College,Director,Very_high,Divorced,Higher,Yes,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Master,Director,Very_high,Single,Higher,Yes,Excellent,Competent,Good
Young,No,Rarely,Medium,Below_college,Rappresentative,Medium,Divorced,Higher,Yes,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Master,Director,Medium,Single,Higher,No,Excellent,Proficient,Better
Young,No,Rarely,Long,Below_college,Technician,Very_high,Divorced,Lower,No,Excellent,Beginner,Good
Senior,No,Rarely,Short,Bachelor,Rappresentative,Medium,Single,On_average,Yes,Excellent,Competent,Better
Senior,No,Frequently,Short,Below_college,Rappresentative,High,Single,Lower,No,Excellent,Beginner,Better
Senior,No,Rarely,Long,Doctor,Manager,Very_high,Single,Higher,No,Excellent,Proficient,Better
Young,No,Non-Travel,Short,Bachelor,Rappresentative,High,Married,On_average,No,Excellent,Beginner,Good
Senior,No,Rarely,Short,Below_college,Technician,High,Divorced,Lower,Yes,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Bachelor,Technician,Medium,Married,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Long,Below_college,Director,High,Married,Higher,No,Outstanding,Proficient,Bad
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Low,Divorced,On_average,Yes,Excellent,Competent,Better
Middle-age,No,Non-Travel,Long,College,Rappresentative,High,Married,On_average,Yes,Excellent,Beginner,Best
Young,No,Rarely,Short,Bachelor,Rappresentative,High,Married,On_average,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Master,Rappresentative,Very_high,Single,Higher,No,Outstanding,Competent,Better
Young,Yes,Frequently,Short,Below_college,Technician,Medium,Single,Lower,Yes,Excellent,Beginner,Better
Middle-age,No,Non-Travel,Short,Doctor,Rappresentative,Very_high,Single,Higher,No,Excellent,Competent,Better
Middle-age,No,Frequently,Short,Master,Director,Very_high,Married,Higher,No,Excellent,Proficient,Better
Senior,No,Rarely,Short,Master,Rappresentative,High,Married,Higher,No,Excellent,Proficient,Better
Senior,No,Rarely,Medium,Master,Technician,High,Married,Lower,Yes,Excellent,Competent,Better
Young,No,Non-Travel,Short,College,Technician,Very_high,Single,Lower,No,Outstanding,Beginner,Good
Middle-age,Yes,Rarely,Short,Bachelor,Technician,High,Single,Lower,Yes,Excellent,Novice,Better
Middle-age,No,Rarely,Medium,Bachelor,Technician,Low,Married,Lower,No,Outstanding,Proficient,Better
Senior,No,Non-Travel,Short,Master,Rappresentative,High,Married,On_average,No,Excellent,Competent,Best
Senior,Yes,Frequently,Short,Bachelor,Rappresentative,Medium,Single,Higher,No,Excellent,Competent,Better
Senior,No,Rarely,Medium,Bachelor,Director,Very_high,Single,Higher,No,Excellent,Expert,Better
Senior,Yes,Rarely,Long,College,Rappresentative,High,Married,On_average,Yes,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Master,Technician,Medium,Single,Lower,Yes,Excellent,Beginner,Better
Young,Yes,Rarely,Medium,Bachelor,Technician,Medium,Single,Lower,No,Excellent,Novice,Better
Young,No,Rarely,Long,Bachelor,Technician,Very_high,Single,Lower,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Medium,Single,Higher,No,Excellent,Competent,Better
Young,No,Rarely,Short,College,Technician,Medium,Divorced,On_average,No,Excellent,Beginner,Better
Young,No,Rarely,Short,Master,Rappresentative,Very_high,Single,On_average,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Bachelor,Director,High,Single,Higher,No,Outstanding,Expert,Better
Senior,No,Rarely,Medium,College,Rappresentative,Very_high,Married,On_average,No,Excellent,Proficient,Good
Middle-age,No,Rarely,Short,Bachelor,Technician,High,Married,Lower,No,Excellent,Beginner,Better
Middle-age,Yes,Non-Travel,Medium,Bachelor,Rappresentative,Very_high,Single,On_average,Yes,Excellent,Competent,Good
Senior,No,Rarely,Short,Bachelor,Manager,Very_high,Single,Higher,Yes,Excellent,Expert,Better
Young,No,Rarely,Medium,Master,Rappresentative,High,Divorced,On_average,Yes,Excellent,Beginner,Best
Middle-age,No,Rarely,Short,Below_college,Technician,Medium,Married,Lower,No,Excellent,Novice,Better
Young,Yes,Frequently,Short,Below_college,Technician,Low,Single,Lower,No,Outstanding,Competent,Better
Young,No,Rarely,Medium,Bachelor,Technician,Medium,Married,Lower,No,Excellent,Novice,Better
Middle-age,No,Rarely,Short,College,Director,High,Married,Higher,No,Excellent,Competent,Better
Middle-age,Yes,Frequently,Short,Bachelor,Technician,Very_high,Single,Lower,Yes,Outstanding,Beginner,Better
Middle-age,No,Rarely,Medium,Bachelor,Technician,Low,Divorced,Lower,No,Excellent,Proficient,Good
Senior,No,Rarely,Short,College,Rappresentative,Medium,Divorced,On_average,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Master,Technician,Low,Divorced,Lower,No,Excellent,Competent,Better
Middle-age,No,Rarely,Medium,Master,Rappresentative,Medium,Single,On_average,Yes,Excellent,Proficient,Good
Senior,No,Rarely,Medium,Bachelor,Manager,Medium,Divorced,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Short,Bachelor,Rappresentative,High,Married,Lower,No,Outstanding,Expert,Better
Senior,No,Rarely,Short,College,Manager,Low,Married,Higher,No,Excellent,Expert,Good
Middle-age,No,Non-Travel,Short,Master,Rappresentative,High,Married,Higher,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,College,Rappresentative,Low,Married,On_average,No,Excellent,Competent,Bad
Senior,No,Frequently,Long,Bachelor,Technician,Very_high,Married,Lower,No,Outstanding,Competent,Better
Senior,No,Rarely,Short,Master,Rappresentative,High,Divorced,On_average,Yes,Excellent,Competent,Better
Young,No,Rarely,Short,College,Rappresentative,Very_high,Single,On_average,Yes,Excellent,Beginner,Better
Middle-age,No,Non-Travel,Long,Doctor,Rappresentative,High,Married,On_average,Yes,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,College,Technician,Low,Married,Lower,No,Excellent,Beginner,Better
Middle-age,No,Frequently,Short,Below_college,Manager,High,Divorced,Higher,Yes,Excellent,Expert,Better
Senior,No,Frequently,Short,Bachelor,Manager,Low,Married,Higher,No,Excellent,Expert,Good
Middle-age,No,Rarely,Medium,Bachelor,Rappresentative,High,Single,Higher,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Bachelor,Director,Low,Married,Higher,No,Excellent,Competent,Better
Young,No,Rarely,Medium,College,Rappresentative,Low,Divorced,On_average,No,Excellent,Competent,Better
Young,Yes,Rarely,Short,Bachelor,Technician,Low,Married,On_average,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Bachelor,Director,High,Married,Higher,Yes,Excellent,Expert,Better
Senior,No,Rarely,Medium,College,Technician,Very_high,Married,Lower,No,Outstanding,Competent,Good
Senior,No,Rarely,Short,College,Manager,Very_high,Married,Higher,No,Excellent,Expert,Bad
Senior,No,Frequently,Long,College,Rappresentative,High,Divorced,On_average,No,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Very_high,Single,On_average,No,Outstanding,Competent,Better
Senior,No,Rarely,Short,Bachelor,Manager,Low,Married,Higher,No,Excellent,Expert,Bad
Senior,No,Rarely,Medium,Bachelor,Rappresentative,High,Divorced,On_average,No,Excellent,Proficient,Good
Senior,No,Frequently,Long,Master,Rappresentative,Very_high,Married,On_average,No,Excellent,Competent,Best
Young,Yes,Rarely,Short,Below_college,Technician,Medium,Single,Lower,Yes,Excellent,Beginner,Better
Middle-age,Yes,Frequently,Short,College,Technician,High,Divorced,Lower,No,Excellent,Beginner,Good
Middle-age,No,Frequently,Short,College,Technician,Very_high,Married,Lower,Yes,Outstanding,Novice,Better
Senior,No,Rarely,Short,Master,Manager,High,Married,Higher,No,Excellent,Expert,Better
Young,No,Rarely,Long,Bachelor,Technician,Very_high,Divorced,Lower,No,Outstanding,Beginner,Bad
Middle-age,No,Non-Travel,Short,Bachelor,Technician,Very_high,Married,Lower,No,Excellent,Competent,Bad
Young,No,Rarely,Short,Master,Director,High,Married,Higher,No,Excellent,Competent,Better
Young,Yes,Rarely,Long,Doctor,Technician,Medium,Married,Lower,No,Excellent,Beginner,Best
Young,Yes,Rarely,Short,College,Technician,Very_high,Single,Lower,No,Excellent,Novice,Best
Middle-age,No,Non-Travel,Long,Master,Director,Low,Married,Higher,No,Excellent,Competent,Better
Senior,No,Rarely,Long,Bachelor,Manager,Very_high,Divorced,Higher,No,Excellent,Expert,Good
Senior,No,Rarely,Long,Master,Manager,High,Married,Higher,No,Excellent,Expert,Better
Middle-age,No,Non-Travel,Short,Bachelor,Technician,Very_high,Single,Lower,No,Excellent,Competent,Good
Senior,No,Frequently,Long,Bachelor,Director,Low,Married,Higher,No,Excellent,Expert,Best
Senior,No,Rarely,Short,College,Rappresentative,Very_high,Divorced,On_average,No,Excellent,Expert,Better
Senior,No,Rarely,Short,Bachelor,Manager,High,Married,Higher,No,Excellent,Expert,Bad
Middle-age,No,Rarely,Long,Bachelor,Technician,High,Single,On_average,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Master,Rappresentative,High,Single,On_average,No,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,Master,Technician,High,Divorced,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Medium,Bachelor,Director,Very_high,Married,Higher,Yes,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,Below_college,Director,Medium,Divorced,Higher,No,Outstanding,Competent,Best
Middle-age,Yes,Rarely,Medium,Below_college,Director,High,Married,Higher,Yes,Excellent,Proficient,Best
Middle-age,Yes,Rarely,Medium,Below_college,Technician,Very_high,Divorced,Lower,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Below_college,Technician,Medium,Single,Lower,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Medium,Bachelor,Director,High,Married,Higher,Yes,Excellent,Competent,Better
Middle-age,Yes,Frequently,Long,Bachelor,Director,High,Married,Higher,No,Excellent,Competent,Better
Middle-age,Yes,Frequently,Long,Bachelor,Director,Low,Divorced,Higher,Yes,Excellent,Competent,Better
Senior,No,Frequently,Short,College,Technician,High,Married,Lower,No,Excellent,Competent,Better
Middle-age,No,Non-Travel,Medium,Master,Director,Very_high,Single,Higher,No,Excellent,Competent,Good
Young,Yes,Frequently,Short,Below_college,Technician,High,Single,On_average,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Doctor,Rappresentative,Very_high,Married,On_average,No,Excellent,Competent,Better
Senior,No,Rarely,Medium,Doctor,Manager,Medium,Single,Higher,No,Outstanding,Expert,Better
Senior,No,Non-Travel,Medium,College,Rappresentative,Very_high,Single,On_average,No,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,High,Married,On_average,No,Excellent,Proficient,Better
Senior,No,Rarely,Short,Bachelor,Manager,High,Single,Higher,No,Excellent,Expert,Better
Middle-age,No,Frequently,Short,Below_college,Technician,High,Married,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Below_college,Rappresentative,Very_high,Single,Higher,Yes,Excellent,Competent,Best
Senior,No,Rarely,Long,Bachelor,Director,Low,Married,Higher,Yes,Outstanding,Competent,Good
Senior,No,Rarely,Short,Bachelor,Rappresentative,Medium,Married,On_average,No,Excellent,Competent,Best
Young,Yes,Frequently,Medium,Master,Technician,High,Divorced,Lower,Yes,Excellent,Competent,Good
Young,No,Rarely,Medium,Bachelor,Rappresentative,Very_high,Divorced,On_average,No,Excellent,Competent,Best
Middle-age,No,Rarely,Short,Doctor,Manager,High,Divorced,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Director,Very_high,Divorced,Higher,No,Outstanding,Competent,Good
Young,Yes,Frequently,Short,Bachelor,Technician,Medium,Single,Lower,Yes,Excellent,Novice,Better
Senior,No,Non-Travel,Long,Bachelor,Director,Low,Divorced,Higher,No,Excellent,Expert,Better
Senior,No,Non-Travel,Short,Master,Rappresentative,High,Single,Higher,Yes,Excellent,Competent,Better
Young,No,Rarely,Long,College,Rappresentative,High,Divorced,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,High,Single,On_average,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Long,Master,Rappresentative,Very_high,Single,On_average,No,Excellent,Competent,Better
Young,Yes,Rarely,Long,Bachelor,Technician,Very_high,Single,Lower,Yes,Excellent,Novice,Bad
Middle-age,No,Rarely,Short,Bachelor,Director,Very_high,Single,Higher,No,Excellent,Competent,Best
Senior,No,Frequently,Medium,Below_college,Director,High,Married,Higher,No,Excellent,Expert,Good
Senior,No,Rarely,Short,Doctor,Manager,Low,Married,Higher,No,Excellent,Expert,Better
Middle-age,No,Non-Travel,Short,Master,Director,Medium,Divorced,Higher,No,Excellent,Competent,Better
Senior,No,Rarely,Short,College,Rappresentative,Low,Divorced,On_average,Yes,Excellent,Proficient,Better
Middle-age,Yes,Non-Travel,Medium,Master,Rappresentative,High,Married,On_average,No,Excellent,Beginner,Better
Young,No,Frequently,Long,Bachelor,Technician,Very_high,Married,Lower,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Medium,Bachelor,Rappresentative,High,Married,Higher,No,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Medium,Married,On_average,No,Excellent,Competent,Good
Senior,No,Rarely,Medium,Master,Manager,High,Divorced,Higher,Yes,Excellent,Expert,Better
Young,No,Rarely,Long,Bachelor,Technician,Very_high,Married,Lower,Yes,Excellent,Beginner,Better
Young,No,Rarely,Long,College,Rappresentative,Medium,Married,On_average,No,Outstanding,Beginner,Best
Young,No,Rarely,Medium,College,Technician,Medium,Married,Lower,No,Outstanding,Novice,Better
Senior,No,Frequently,Short,Bachelor,Manager,Medium,Married,Higher,No,Excellent,Expert,Better
Young,No,Rarely,Medium,Below_college,Technician,High,Married,Lower,No,Excellent,Competent,Better
Young,Yes,Frequently,Short,Bachelor,Technician,High,Married,Lower,Yes,Excellent,Beginner,Better
Middle-age,Yes,Frequently,Medium,Master,Technician,Low,Married,Lower,No,Excellent,Novice,Best
Middle-age,No,Rarely,Short,College,Technician,Very_high,Married,Lower,Yes,Excellent,Beginner,Better
Middle-age,Yes,Rarely,Medium,Master,Rappresentative,Low,Divorced,On_average,No,Excellent,Competent,Bad
Middle-age,No,Rarely,Long,College,Rappresentative,Very_high,Single,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Very_high,Divorced,On_average,No,Outstanding,Competent,Best
Young,No,Rarely,Short,Master,Technician,High,Divorced,Lower,No,Excellent,Beginner,Good
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,High,Married,Higher,Yes,Excellent,Proficient,Good
Young,No,Rarely,Short,Bachelor,Technician,Medium,Single,Lower,No,Excellent,Novice,Best
Senior,No,Rarely,Short,Master,Rappresentative,Very_high,Married,On_average,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Master,Manager,Very_high,Divorced,Higher,Yes,Excellent,Expert,Good
Middle-age,No,Rarely,Short,Below_college,Technician,Low,Single,Lower,No,Excellent,Competent,Good
Senior,No,Frequently,Short,Doctor,Rappresentative,High,Divorced,On_average,Yes,Excellent,Competent,Better
Senior,No,Rarely,Short,Master,Manager,Low,Married,Higher,No,Excellent,Expert,Bad
Senior,No,Rarely,Short,Master,Rappresentative,High,Single,On_average,No,Excellent,Competent,Best
Middle-age,No,Rarely,Medium,Bachelor,Technician,High,Divorced,Lower,Yes,Excellent,Competent,Better
Young,Yes,Rarely,Short,Below_college,Technician,Low,Divorced,Lower,No,Excellent,Beginner,Better
Young,No,Rarely,Long,Below_college,Technician,High,Single,Lower,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Master,Manager,Very_high,Married,Higher,Yes,Excellent,Expert,Best
Young,No,Rarely,Short,Below_college,Technician,High,Married,Lower,No,Outstanding,Beginner,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,High,Divorced,Higher,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Very_high,Married,On_average,Yes,Excellent,Beginner,Good
Middle-age,No,Frequently,Short,Bachelor,Technician,High,Divorced,Lower,No,Outstanding,Novice,Better
Senior,No,Rarely,Short,Below_college,Rappresentative,Low,Single,Higher,No,Outstanding,Proficient,Best
Middle-age,No,Rarely,Short,Doctor,Technician,Very_high,Married,Lower,No,Excellent,Competent,Good
Senior,Yes,Frequently,Long,Master,Rappresentative,Low,Married,On_average,No,Excellent,Beginner,Better
Young,No,Rarely,Short,Bachelor,Technician,Very_high,Married,Lower,Yes,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Bachelor,Director,High,Married,Higher,No,Excellent,Competent,Better
Young,No,Rarely,Short,College,Rappresentative,High,Married,On_average,No,Excellent,Beginner,Good
Middle-age,No,Rarely,Short,Master,Rappresentative,Very_high,Single,Higher,No,Excellent,Proficient,Better
Middle-age,No,Frequently,Short,Bachelor,Rappresentative,Very_high,Divorced,Higher,No,Outstanding,Proficient,Bad
Senior,No,Rarely,Medium,Master,Director,Medium,Married,Higher,No,Excellent,Proficient,Best
Middle-age,No,Rarely,Short,College,Rappresentative,Medium,Divorced,Higher,Yes,Excellent,Competent,Better
Young,No,Rarely,Short,Master,Technician,Very_high,Single,Lower,No,Excellent,Beginner,Better
Young,Yes,Rarely,Medium,Below_college,Technician,High,Single,Lower,Yes,Excellent,Novice,Better
Middle-age,Yes,Frequently,Short,Bachelor,Technician,Low,Single,Lower,Yes,Excellent,Competent,Better
Middle-age,No,Non-Travel,Short,Bachelor,Technician,High,Married,Lower,No,Excellent,Novice,Better
Young,No,Rarely,Short,Bachelor,Technician,Low,Married,Lower,No,Excellent,Beginner,Best
Young,No,Rarely,Short,Bachelor,Rappresentative,Medium,Married,On_average,No,Outstanding,Beginner,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Very_high,Single,On_average,No,Outstanding,Competent,Better
Young,No,Frequently,Short,Master,Technician,Very_high,Divorced,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Below_college,Rappresentative,Medium,Married,Higher,No,Excellent,Competent,Better
Young,No,Frequently,Short,Below_college,Rappresentative,Very_high,Divorced,On_average,Yes,Outstanding,Beginner,Better
Middle-age,No,Rarely,Medium,College,Technician,Very_high,Single,On_average,No,Excellent,Beginner,Better
Senior,No,Rarely,Long,Below_college,Technician,High,Married,Lower,Yes,Excellent,Expert,Better
Middle-age,No,Rarely,Short,Bachelor,Director,Medium,Single,Higher,No,Excellent,Competent,Best
Young,Yes,Rarely,Short,College,Rappresentative,High,Single,On_average,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,High,Single,On_average,No,Excellent,Expert,Better
Middle-age,No,Rarely,Medium,Bachelor,Rappresentative,Very_high,Single,On_average,No,Excellent,Competent,Good
Senior,Yes,Frequently,Short,College,Rappresentative,High,Married,Higher,Yes,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Very_high,Single,Higher,No,Excellent,Competent,Good
Young,No,Rarely,Short,College,Director,Low,Married,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,College,Director,Very_high,Single,Higher,No,Excellent,Competent,Better
Senior,No,Rarely,Medium,Master,Rappresentative,Low,Single,On_average,No,Excellent,Expert,Better
Senior,No,Frequently,Short,Master,Director,Low,Married,Higher,Yes,Outstanding,Expert,Better
Senior,No,Rarely,Short,Bachelor,Manager,High,Married,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Medium,Master,Manager,Very_high,Divorced,Higher,No,Excellent,Expert,Good
Senior,No,Rarely,Medium,Master,Rappresentative,Low,Single,On_average,No,Excellent,Competent,Better
Young,No,Frequently,Medium,College,Director,Low,Divorced,Higher,No,Outstanding,Competent,Good
Senior,No,Rarely,Short,Bachelor,Manager,High,Married,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Short,Master,Technician,Medium,Married,On_average,No,Excellent,Beginner,Better
Young,Yes,Rarely,Short,College,Technician,Medium,Single,Lower,Yes,Excellent,Competent,Better
Middle-age,No,Non-Travel,Short,Bachelor,Director,Low,Married,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Director,High,Single,Higher,Yes,Excellent,Competent,Best
Senior,No,Non-Travel,Long,Bachelor,Technician,High,Single,On_average,No,Excellent,Competent,Better
Senior,No,Frequently,Short,Bachelor,Manager,High,Divorced,Higher,Yes,Excellent,Expert,Good
Middle-age,No,Rarely,Long,Doctor,Rappresentative,Very_high,Divorced,On_average,No,Outstanding,Competent,Good
Young,No,Rarely,Medium,Bachelor,Technician,High,Single,Lower,No,Excellent,Novice,Better
